last,first,chamber,party,district,days_regular,days_special,regular,special,total,
Hawkins,Brad,Senate,GOP,12,105,88,12600,10560,23160,
Baumgartner,Michael,Senate,GOP,6,105,88,12600,10560,23160,
Hasegawa,Bob,Senate,Dem,11,105,84,12600,10080,22680,
Fortunato,Phil,Senate,GOP,31,98,86,11760,10320,22080,
Liias,Marko,Senate,Dem,21,105,77,12600,9240,21840,
Chase,Maralyn,Senate,Dem,32,105,70,12600,8400,21000,
Van De Wege,Kevin,Senate,Dem,24,105,61,12600,7320,19920,
Miloscia,Mark,Senate,GOP,30,105,54,12600,6480,19080,
Ranker,Kevin,Senate,Dem,40,105,50,12600,6000,18600,
Schoesler,Mark,Senate,GOP,9,96,55,11520,6600,18120,
Billig,Andy,Senate,Dem,3,105,41,12600,4920,17520,
Darneille,Jeannie,Senate,Dem,27,104,41,12480,4920,17400,
Ericksen,Doug,Senate,GOP,42,70,72,8400,8640,17040,
Bailey,Barbara,Senate,GOP,10,105,33,12600,3960,16560,
Sheldon,Tim,Senate,MCC,35,104,28,12480,3360,15840,
Nelson,Sharon,Senate,Dem,34,90,45,10800,5400,16200,
Saldaña,Rebecca,Senate,Dem,37,100,34,12000,4080,16080,
Honeyford,Jim,Senate,GOP,15,99,33,11880,3960,15840,
Rivers,Ann ,Senate,GOP,18,98,33,11760,3960,15720,
Walsh,Maureen,Senate,GOP,16,105,26,12600,3120,15720,
O'Ban,Steve,Senate,GOP,28,105,*,10500,5140,15640,
Warnick,Judy,Senate,GOP,13,105,25,12600,3000,15600,
Padden,Mike,Senate,GOP,4,98,28,11760,3360,15120,
Palumbo,Guy,Senate,Dem,1,105,20,12600,2400,15000,
Becker,Randi,Senate,GOP,2,96,28,11520,3360,14880,
King,Curtis,Senate,GOP,14,105,*,12600,2020,14620,
Brown,Sharon,Senate,GOP ,8,105,16,12600,1920,14520,
Hobbs,Steve,Senate,Dem,44,105,*,12600,1740,14340,
Wellman,Lisa,Senate,Dem,41,104,15,12480,1800,14280,
Wilson,Lynda,Senate,GOP,17,105,11,12600,1080,13680,
Angel,Jan,Senate,GOP,26,105,10,12600,1200,13800,
Kuderer,Patty,Senate,Dem,48,102,13,12240,1560,13800,
Rolfes,Christine,Senate,Dem,23,82,32,9840,3840,13680,
Takko,Dean,Senate,Dem,19,105,9,12600,1080,13680,
Pearson,Kirk,Senate,GOP,39,103,7,12360,840,13200,
McCoy,John,Senate,Dem,38,*,*,11460,1290,12750,
Cleveland,Annette,Senate,Dem,49,105,0,12600,0,12600,
Rossi,Dino,Senate,GOP,45,98,0,11760,0,11760,
Conway,Steve,Senate,Dem,29,71,23,8520,2760,11280,
Keiser,Karen,Senate,Dem,33,72,22,8640,2640,11280,
Short,Shelly,Senate,GOP,7,81,9,9720,1080,10800,
Fain,Joe,Senate,GOP,47,85,0,10200,0,10200,
Zeiger,Hans,Senate,GOP,25,75,6,9000,720,9720,
Mullet,Mark,Senate,Dem,5,80,0,9600,0,9600,
Pedersen,Jamie,Senate,Dem,43,68,11,8160,1320,9480,
Hunt,Sam,Senate,Dem,22,*,9,8250,1080,9330,
Carlyle,Reuven,Senate,Dem,36,60,13,7200,1560,8760,
Frockt,David,Senate,Dem,46,*,0,6030,0,6030,
Braun,John,Senate,GOP,20,0,0,0,0,0,
Ormsby, Timm,House,Dem,3,105,88,12600,10560,23160,
Pettigrew, Eric,House,Dem,37,105,88,12600,10560,23160,
Sawyer, David,House,Dem,29,105,85,12600,10200,22800,
Riccelli, Marcus,House,Dem,3,105,75,12600,9000,21600,
Robinson, June,House,Dem,38,105,73,12600,8760,21360,
Tharinger, Steve,House,Dem,24,105,70,12600,8400,21000,
Stokesbary, Drew,House,GOP,31,105,67,12600,8040,20640,
Buys, Vincent,House,GOP,42,105,66,12600,7920,20520,
Sullivan, Pat,House,Dem,47,97,60,11640,7200,18840,
Frame, Noel,House,Dem,36,105,54,12600,6480,19080,
Van Werven, Luann,House,GOP,42,105,54,12600,6480,19080,
Harris, Paul,House,GOP,17,105,53,12600,6360,18960,
Taylor, David,House,GOP,15,105,53,12600,6360,18960,
Manweller, Matt,House,GOP,13,105,52,12600,6240,18840,
Vick, Brandon,House,GOP,18,105,51,12600,6120,18720,
Chandler, Bruce,House,GOP,15,105,51,12600,6120,18720,
Fitzgibbon, Joe,House,Dem,34,105,50,12600,6000,18600,
Lytton, Kris,House,Dem,40,103,48,12360,5760,18120,
Stonier, Monica,House,Dem,49,105,39,12600,4680,17280,
Santos, Sharon T,House,Dem,37,105,35,12600,4200,16800,
Kloba, Shelley,House,Dem,1,103,37,12360,4440,16800,
Harmsworth, Mark,House,GOP,44,105,34,12600,4080,16680,
Ortiz-Self, Lillian,House,Dem,21,105,31,12600,3720,16320,
Stambaugh, Melanie,House,GOP,25,105,31,12600,3720,16320,
Stanford, Derek,House,Dem,1,105,29,12600,3480,16080,
Blake, Brian,House,Dem,19,105,28,12600,3360,15960,
Rodne, Jay,House,GOP,5,105,28,12600,3360,15960,
Goodman,Roger,House,Dem,45,105,28,12600,3360,15960,
Kagi, Ruth,House,Dem,32,105,26,12600,3120,15720,
Schmick, Joe,House,GOP,9,105,24,12600,2880,15480,
Jinkins, Laurie,House,Dem,27,105,23,12600,2760,15360,
Hayes, Dave,House,GOP,10,105,22,12600,2640,15240,
Tarleton, Gael,House,Dem,36,105,41,12600,3540,16140,
MacEwen, Drew,House,GOP,35,105,21,12600,2520,15120,
Springer, Larry,House,Dem,45,105,21,12600,2520,15120,
